,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Fayette County, Illinois: Summary level: 050, state:17> county:051",8760,525,9285,5.7,11692,9395,1644,3527.0,11469,10096,4058,46650,41.9
"Logan County, Illinois: Summary level: 050, state:17> county:107",12426,738,13164,5.6,19106,9777,1154,3917.0,14298,14705,5224,57308,40.1
"Saline County, Illinois: Summary level: 050, state:17> county:165",9902,816,10718,7.6,14218,12485,993,5240.0,11807,12187,4785,44090,42.2
"Lake County, Illinois: Summary level: 050, state:17> county:097",351926,19357,371283,5.2,519407,186251,46304,62508.0,350466,351007,96339,89427,38.4
"Massac County, Illinois: Summary level: 050, state:17> county:127",5636,259,5895,4.4,8251,6813,752,2892.0,6714,7505,2962,47481,43.5
"Cass County, Illinois: Summary level: 050, state:17> county:017",5978,414,6392,6.5,8556,4952,675,1603.0,6236,6257,2156,52373,40.0
"Huntington County, Indiana: Summary level: 050, state:18> county:069",18586,532,19118,2.8,27053,10801,2817,4791.0,17919,18440,6128,53632,40.7
"White County, Indiana: Summary level: 050, state:18> county:181",11283,465,11748,4.0,17003,8478,2263,3956.0,12063,12086,4711,54576,42.0
"Jay County, Indiana: Summary level: 050, state:18> county:075",9616,376,9992,3.8,13301,8379,1827,3484.0,10452,10388,3615,47658,39.7
"Shelby County, Indiana: Summary level: 050, state:18> county:145",22227,820,23047,3.6,31526,14364,2999,6178.0,21874,22564,7400,60404,40.8
"Sullivan County, Indiana: Summary level: 050, state:18> county:153",8591,440,9031,4.9,11847,7853,1819,3531.0,11076,9654,3577,50245,41.0
"Tippecanoe County, Indiana: Summary level: 050, state:18> county:157",96929,4129,101058,4.1,147090,44994,14974,19605.0,97798,93755,21322,53130,28.2
"Hamilton County, Indiana: Summary level: 050, state:18> county:057",172742,4891,177633,2.8,279723,57539,14085,25439.0,157702,165415,38362,98173,37.1
"Bartholomew County, Indiana: Summary level: 050, state:18> county:005",40151,1768,41919,4.2,59691,25316,6981,10583.0,41170,41311,13234,63431,37.8
"Fulton County, Indiana: Summary level: 050, state:18> county:049",9330,414,9744,4.2,13655,7082,2099,3172.0,9903,10193,3799,52034,41.3
"Noble County, Indiana: Summary level: 050, state:18> county:113",22957,943,23900,3.9,34371,13878,4011,6268.0,23872,23634,7233,56789,38.7
"Clark County, Indiana: Summary level: 050, state:18> county:019",58218,2984,61202,4.9,83583,38346,8325,15387.0,56860,59647,17949,55630,39.1
"Hendricks County, Indiana: Summary level: 050, state:18> county:063",86609,3239,89848,3.6,132629,37090,9807,16611.0,81767,82032,21828,81933,37.7
"Grant County, Indiana: Summary level: 050, state:18> county:053",29082,2250,31332,7.2,42196,28253,5624,12669.0,31695,34757,12406,44356,40.3
"Jackson County, Indiana: Summary level: 050, state:18> county:071",20694,939,21633,4.3,30801,14472,3643,6572.0,21842,22183,6978,51250,38.5
"Owen County, Indiana: Summary level: 050, state:18> county:119",9683,555,10238,5.4,13036,8273,2248,3768.0,10636,10199,3950,49543,45.2
"Whitley County, Indiana: Summary level: 050, state:18> county:183",17204,644,17848,3.6,25485,9809,2570,4588.0,16755,16975,5943,61741,41.8
"Clinton County, Indiana: Summary level: 050, state:18> county:023",15183,611,15794,3.9,21498,11200,3196,4316.0,16067,16206,5214,54286,37.8
"Union County, Indiana: Summary level: 050, state:18> county:161",3395,50,3445,1.5,5049,2211,674,1104.0,3480,3633,1339,50375,43.5
"Dearborn County, Indiana: Summary level: 050, state:18> county:029",24757,956,25713,3.7,36511,16838,2456,5793.0,24658,24821,8421,68658,42.5
"Lawrence County, Indiana: Summary level: 050, state:18> county:093",20914,958,21872,4.4,31884,17639,3771,8360.0,22485,23063,9006,53610,43.1
"Perry County, Indiana: Summary level: 050, state:18> county:123",8372,263,8635,3.0,13144,6216,733,2654.0,10191,8911,3468,52348,42.0
"Posey County, Indiana: Summary level: 050, state:18> county:129",12401,533,12934,4.1,19684,7728,1204,3315.0,12744,12816,4654,64196,42.6
"Carroll County, Indiana: Summary level: 050, state:18> county:015",9367,300,9667,3.1,14388,7053,1644,3032.0,10085,9989,3844,54806,42.9
"Fountain County, Indiana: Summary level: 050, state:18> county:045",7601,345,7946,4.3,11407,6233,1292,3043.0,8254,8176,3205,52874,43.4
"Starke County, Indiana: Summary level: 050, state:18> county:149",9751,509,10260,5.0,15265,9786,1192,3491.0,11422,11530,4089,51190,41.5
"Greene County, Indiana: Summary level: 050, state:18> county:055",14333,719,15052,4.8,22534,12265,2509,5812.0,15971,16188,6201,51613,43.1
"Benton County, Iowa: Summary level: 050, state:19> county:011",13269,409,13678,3.0,20337,8635,565,2832.0,12788,12848,4631,67729,42.6
"Dubuque County, Iowa: Summary level: 050, state:19> county:061",50533,2036,52569,3.9,76050,30852,3589,10690.0,47818,49164,16778,63031,38.6
"Pocahontas County, Iowa: Summary level: 050, state:19> county:151",3322,112,3434,3.3,4914,2790,278,1046.0,3318,3479,1544,52448,47.6
"Van Buren County, Iowa: Summary level: 050, state:19> county:177",3051,168,3219,5.2,4369,3149,835,1079.0,3665,3485,1582,48591,45.4
"Adams County, Iowa: Summary level: 050, state:19> county:003",1674,68,1742,3.9,2710,1397,208,504.0,1830,1840,836,49255,47.3
"Audubon County, Iowa: Summary level: 050, state:19> county:009",2906,52,2958,1.8,3798,2357,282,693.0,2770,2801,1354,52055,48.1
"Davis County, Iowa: Summary level: 050, state:19> county:051",4202,131,4333,3.0,4859,2876,2327,1037.0,4403,4517,1555,63404,36.8
"Ida County, Iowa: Summary level: 050, state:19> county:093",3452,91,3543,2.6,5229,2465,234,881.0,3442,3459,1511,58427,43.7
"Monroe County, Iowa: Summary level: 050, state:19> county:135",3785,155,3940,3.9,5967,2566,308,962.0,3886,3921,1533,58269,43.0
"Sioux County, Iowa: Summary level: 050, state:19> county:167",18732,518,19250,2.7,27272,9650,1430,3034.0,17485,17342,5301,69844,33.4
"Calhoun County, Iowa: Summary level: 050, state:19> county:025",4314,102,4416,2.3,6769,3698,319,1094.0,5057,4687,2222,52323,44.6
"Cerro Gordo County, Iowa: Summary level: 050, state:19> county:033",22181,917,23098,4.0,31038,16699,2058,5997.0,20905,21929,9043,53963,44.3
"Hardin County, Iowa: Summary level: 050, state:19> county:083",8491,153,8644,1.8,12259,6150,624,2033.0,8522,8539,3634,54196,44.7
"Lucas County, Iowa: Summary level: 050, state:19> county:117",4113,145,4258,3.4,6076,3852,444,1396.0,4317,4266,1836,55205,44.2
"Palo Alto County, Iowa: Summary level: 050, state:19> county:147",4581,67,4648,1.4,6515,3287,406,1383.0,4468,4535,1938,52932,41.4
"Henry County, Iowa: Summary level: 050, state:19> county:087",9264,538,9802,5.5,13883,7528,602,2719.0,10133,9808,3676,53501,39.7
"Jasper County, Iowa: Summary level: 050, state:19> county:099",18027,707,18734,3.8,26824,13794,1063,4622.0,18879,18092,6989,58952,42.1
"Poweshiek County, Iowa: Summary level: 050, state:19> county:157",9602,398,10000,4.0,13914,6134,1027,1763.0,8839,9549,3715,53852,40.5
"Clayton County, Iowa: Summary level: 050, state:19> county:043",9087,226,9313,2.4,12442,7445,1023,2436.0,8946,8679,4045,53152,47.3
"Bremer County, Iowa: Summary level: 050, state:19> county:017",13158,309,13467,2.3,20779,7538,634,2601.0,12313,12551,4866,70395,39.8
"Emmet County, Iowa: Summary level: 050, state:19> county:063",4721,175,4896,3.6,6520,3423,583,1306.0,4728,4710,1937,51563,42.9
"Hancock County, Iowa: Summary level: 050, state:19> county:081",5647,127,5774,2.2,8187,3752,370,1382.0,5418,5384,2358,61761,44.2
"Jackson County, Iowa: Summary level: 050, state:19> county:097",9547,364,9911,3.7,14063,7447,840,2328.0,9713,9688,3957,55967,44.3
"Lee County, Iowa: Summary level: 050, state:19> county:111",15554,1161,16715,6.9,23424,14481,1268,5483.0,17263,16964,6805,49564,43.1
"Warren County, Iowa: Summary level: 050, state:19> county:181",26361,811,27172,3.0,40544,14467,1324,5361.0,24497,25579,7781,77048,38.3
"Mahaska County, Iowa: Summary level: 050, state:19> county:123",11050,446,11496,3.9,15855,8439,965,3084.0,11148,11016,4005,54825,39.3
"Clay County, Iowa: Summary level: 050, state:19> county:041",8111,356,8467,4.2,11549,6085,602,2414.0,7998,8213,3329,50521,42.9
"Delaware County, Iowa: Summary level: 050, state:19> county:055",9258,187,9445,2.0,13784,5354,507,1814.0,8626,8557,3276,63750,43.8
"Bacon County, Georgia: Summary level: 050, state:13> county:005",4108,194,4302,4.5,5410,3988,2158,2064.0,5473,5728,1721,37519,36.7
"Brantley County, Georgia: Summary level: 050, state:13> county:025",6769,417,7186,5.8,9022,9233,2732,3543.0,9198,9558,3008,38857,41.1
"Ben Hill County, Georgia: Summary level: 050, state:13> county:017",6130,378,6508,5.8,8668,6924,2956,2525.0,8139,8894,2850,32229,39.9
"Burke County, Georgia: Summary level: 050, state:13> county:033",9366,426,9792,4.4,12612,9139,2751,3061.0,10715,11805,3384,44151,37.4
"Catoosa County, Georgia: Summary level: 050, state:13> county:047",31272,1359,32631,4.2,46579,21203,7586,10853.0,32000,34700,11485,56235,40.4
"Chattahoochee County, Georgia: Summary level: 050, state:13> county:053",2219,282,2501,11.3,4490,1648,373,659.0,6875,3685,338,47096,24.5
"Chattooga County, Georgia: Summary level: 050, state:13> county:055",9098,543,9641,5.6,12467,10277,3281,3928.0,12858,11954,4295,36807,39.4
"Columbia County, Georgia: Summary level: 050, state:13> county:073",68738,3271,72009,4.5,119331,36011,11557,17280.0,73770,76935,19884,82339,36.9
"Decatur County, Georgia: Summary level: 050, state:13> county:087",10317,566,10883,5.2,11730,11133,4658,4014.0,12823,13859,4267,41481,37.8
"Floyd County, Georgia: Summary level: 050, state:13> county:115",41723,2385,44108,5.4,59821,34767,12811,14639.0,47109,50260,16060,48336,38.3
"Forsyth County, Georgia: Summary level: 050, state:13> county:117",115231,3862,119093,3.2,187486,38562,20088,16522.0,113527,114856,26669,107218,38.5
"Habersham County, Georgia: Summary level: 050, state:13> county:137",18747,596,19343,3.1,27378,14929,6813,7109.0,21134,23492,8245,50563,39.7
"Hart County, Georgia: Summary level: 050, state:13> county:147",9819,587,10406,5.6,14746,11255,2994,5259.0,12664,13109,5628,43204,44.1
"Lowndes County, Georgia: Summary level: 050, state:13> county:185",47834,3338,51172,6.5,75476,34782,16337,12314.0,56144,59220,13703,42441,30.5
"McIntosh County, Georgia: Summary level: 050, state:13> county:191",6069,390,6459,6.0,8459,5916,2093,3207.0,7128,7046,3639,49504,49.4
"Meriwether County, Georgia: Summary level: 050, state:13> county:199",8071,530,8601,6.2,11935,8636,2903,4396.0,10234,10872,4191,37121,42.3
"Monroe County, Georgia: Summary level: 050, state:13> county:207",11331,850,12181,7.0,18693,8017,3126,4255.0,13586,13585,4908,54754,42.9
"Putnam County, Georgia: Summary level: 050, state:13> county:237",9501,413,9914,4.2,12733,9877,3005,3299.0,10510,11181,5101,51606,46.2
"Sumter County, Georgia: Summary level: 050, state:13> county:261",11813,1095,12908,8.5,16678,11931,3472,3978.0,14197,15867,5014,36681,35.7
"Taliaferro County, Georgia: Summary level: 050, state:13> county:265",598,47,645,7.3,877,807,179,344.0,793,818,406,37446,44.2
"Warren County, Georgia: Summary level: 050, state:13> county:301",2115,107,2222,4.8,2582,2578,677,756.0,2469,2828,1143,37203,45.1
"Thomas County, Kansas: Summary level: 050, state:20> county:193",4232,96,4328,2.2,5979,1852,645,1080.0,3773,4037,1276,60124,36.0
"Wayne County, Iowa: Summary level: 050, state:19> county:185",2799,48,2847,1.7,3787,2932,709,922.0,3168,3261,1395,44768,43.2
"Scott County, Iowa: Summary level: 050, state:19> county:163",84565,3383,87948,3.8,125639,59858,7740,18600.0,84605,87841,27192,61183,38.3
"Sherman County, Kansas: Summary level: 050, state:20> county:181",2931,108,3039,3.6,4312,1938,533,844.0,3086,2852,1114,54754,39.3
"Morris County, Kansas: Summary level: 050, state:20> county:127",2719,67,2786,2.4,4079,1937,447,918.0,2773,2793,1355,55658,46.6
"Rooks County, Kansas: Summary level: 050, state:20> county:163",2465,78,2543,3.1,3755,1661,332,746.0,2428,2625,1118,49415,44.7
"Clark County, Kansas: Summary level: 050, state:20> county:025",988,15,1003,1.5,1552,616,100,326.0,1050,976,478,53348,45.3
"Harper County, Kansas: Summary level: 050, state:20> county:077",2371,145,2516,5.8,3566,2146,706,946.0,2846,2748,1245,49865,42.4
"Lyon County, Kansas: Summary level: 050, state:20> county:111",17330,997,18327,5.4,24123,9596,2855,4348.0,16107,17144,4910,46338,33.4
"Pawnee County, Kansas: Summary level: 050, state:20> county:145",2694,67,2761,2.4,3925,2119,533,967.0,3670,2959,1344,49917,43.0
"Comanche County, Kansas: Summary level: 050, state:20> county:033",925,29,954,3.0,1355,502,148,253.0,926,814,454,54821,48.1
"Gove County, Kansas: Summary level: 050, state:20> county:063",1288,21,1309,1.6,1865,927,316,434.0,1330,1314,702,48317,48.2
"Harvey County, Kansas: Summary level: 050, state:20> county:079",17037,584,17621,3.3,25316,10432,2771,5003.0,17159,17344,6615,57982,39.2
"Kearny County, Kansas: Summary level: 050, state:20> county:093",1659,37,1696,2.2,2451,1202,584,491.0,1860,2047,572,52599,34.7
"McPherson County, Kansas: Summary level: 050, state:20> county:113",14832,293,15125,1.9,21722,8231,1801,3642.0,14070,14497,5573,59089,40.8
"Desha County, Arkansas: Summary level: 050, state:05> county:041",4563,406,4969,8.2,5748,6713,737,2255.0,5562,6147,2187,31893,40.1
"Fulton County, Arkansas: Summary level: 050, state:05> county:049",4077,245,4322,5.7,5920,6558,1459,2833.0,6106,6125,3122,35405,48.4
"Howard County, Arkansas: Summary level: 050, state:05> county:061",5601,410,6011,6.8,7085,6670,1125,2319.0,6388,6923,2346,36059,39.2
"Garland County, Arkansas: Summary level: 050, state:05> county:051",41221,2392,43613,5.5,55561,49875,10226,19704.0,47295,51260,23000,44777,45.0
"Mississippi County, Arkansas: Summary level: 050, state:05> county:093",17365,1764,19129,9.2,21645,20875,3077,8269.0,20436,21690,6088,39962,36.6
"Pope County, Arkansas: Summary level: 050, state:05> county:115",26754,1823,28577,6.4,39002,26998,5440,11172.0,31330,32431,9732,43462,35.3
"Prairie County, Arkansas: Summary level: 050, state:05> county:117",3450,262,3712,7.1,4401,3821,627,1708.0,4095,4094,1915,42660,47.2
"Union County, Arkansas: Summary level: 050, state:05> county:139",15590,815,16405,5.0,24041,17240,2931,6791.0,19101,20348,6804,44663,40.3
"Woodruff County, Arkansas: Summary level: 050, state:05> county:147",2653,226,2879,7.8,3110,3544,385,1530.0,3006,3527,1481,32845,45.5
"Cleburne County, Arkansas: Summary level: 050, state:05> county:023",10314,465,10779,4.3,14743,13271,2029,4593.0,12434,12666,6719,44483,49.4
"Cleveland County, Arkansas: Summary level: 050, state:05> county:025",3061,178,3239,5.5,4656,3960,444,1637.0,4007,4121,1664,46684,42.9
"Jackson County, Arkansas: Summary level: 050, state:05> county:067",5542,450,5992,7.5,7075,8193,1112,3375.0,8427,8600,2986,34109,39.7
"Hempstead County, Arkansas: Summary level: 050, state:05> county:057",9218,445,9663,4.6,12057,10264,1975,3668.0,10323,11519,3905,42860,40.4
"Sharp County, Arkansas: Summary level: 050, state:05> county:135",5957,269,6226,4.3,7885,11083,1073,4594.0,8397,8742,4435,34671,47.6
"Stone County, Arkansas: Summary level: 050, state:05> county:137",4526,303,4829,6.3,6163,7489,937,2799.0,6190,6285,3335,38188,50.1
"Washington County, Arkansas: Summary level: 050, state:05> county:143",111363,5587,116950,4.8,155516,70609,26686,24515.0,115916,116373,26461,50451,32.0
"Baxter County, Arkansas: Summary level: 050, state:05> county:005",16051,773,16824,4.6,25697,22127,2152,8431.0,20099,21328,12779,42260,52.2
"Ashley County, Arkansas: Summary level: 050, state:05> county:003",7796,446,8242,5.4,10667,10427,1570,4166.0,9825,10445,4036,44744,41.7
"Craighead County, Arkansas: Summary level: 050, state:05> county:031",49761,3290,53051,6.2,63577,45398,9328,18697.0,52386,54959,14510,47286,34.2
"Greene County, Arkansas: Summary level: 050, state:05> county:055",18761,1550,20311,7.6,26349,20390,3432,10185.0,22083,22854,7076,47056,38.0
"Perry County, Arkansas: Summary level: 050, state:05> county:105",3793,221,4014,5.5,5829,5274,521,2450.0,5172,5183,2062,48667,43.7
"Poinsett County, Arkansas: Summary level: 050, state:05> county:111",9802,607,10409,5.8,10795,12564,2665,5244.0,11644,12252,4256,40921,40.1
"Sevier County, Arkansas: Summary level: 050, state:05> county:133",7338,427,7765,5.5,8717,7343,2845,2410.0,8584,8497,2372,47704,35.3
"Calhoun County, Arkansas: Summary level: 050, state:05> county:013",2111,97,2208,4.4,2775,2531,479,1134.0,2609,2583,1102,46417,44.5
"Clark County, Arkansas: Summary level: 050, state:05> county:019",10575,215,10790,2.0,14285,8449,1879,4707.0,10506,11880,3634,41620,33.7
"Lawrence County, Arkansas: Summary level: 050, state:05> county:075",6600,513,7113,7.2,8938,8359,1065,3801.0,8211,8338,3199,39993,40.8
"Monroe County, Arkansas: Summary level: 050, state:05> county:095",2978,242,3220,7.5,3458,3880,623,1646.0,3308,3742,1609,38468,47.3
"Conway County, Arkansas: Summary level: 050, state:05> county:029",8927,642,9569,6.7,11672,10265,1417,4784.0,10154,10704,3939,42802,42.5
"Newton County, Arkansas: Summary level: 050, state:05> county:101",2878,105,2983,3.5,4502,3962,385,1711.0,3868,3944,1991,38082,49.0
"Arkansas County, Arkansas: Summary level: 050, state:05> county:001",7864,486,8350,5.8,9827,8771,1207,3907.0,8565,9349,3405,46696,40.7
"Lonoke County, Arkansas: Summary level: 050, state:05> county:085",32568,1212,33780,3.6,48464,26379,5381,10040.0,35687,36841,9549,59094,36.2
"Carroll County, Arkansas: Summary level: 050, state:05> county:015",12013,457,12470,3.7,17114,13079,3088,4193.0,13908,14057,6307,46110,45.0
"St. Francis County, Arkansas: Summary level: 050, state:05> county:123",8542,560,9102,6.2,10290,12776,1939,4179.0,14094,11806,4173,35348,38.8
"Pulaski County, Arkansas: Summary level: 050, state:05> county:119",184202,8993,193195,4.7,249402,158603,30546,60864.0,187895,205072,58959,51749,37.2
"Merced County, California: Summary level: 050, state:06> county:047",104983,14137,119120,11.9,131199,138861,22377,34920.0,136987,134395,29956,53672,31.1
"Mariposa County, California: Summary level: 050, state:06> county:043",7038,634,7672,8.3,10731,9116,969,3519.0,8872,8548,4790,48820,51.7
"Modoc County, California: Summary level: 050, state:06> county:049",2957,278,3235,8.6,4297,4695,1091,1589.0,4626,4281,2401,45507,47.8
"Contra Costa County, California: Summary level: 050, state:06> county:013",559366,31392,590758,5.3,846424,367874,57973,127242.0,558502,583749,175882,99716,39.7
"Inyo County, California: Summary level: 050, state:06> county:027",8238,355,8593,4.1,12384,7274,1017,2496.0,9062,8915,4097,57316,45.8
"Stanislaus County, California: Summary level: 050, state:06> county:099",228175,22800,250975,9.1,310963,250327,30689,71011.0,268871,274323,69679,60704,34.1
"Santa Barbara County, California: Summary level: 050, state:06> county:083",213438,13147,226585,5.8,278676,166078,43878,43488.0,222659,222170,66563,74624,33.8
"Tehama County, California: Summary level: 050, state:06> county:103",24633,2318,26951,8.6,34724,34627,4022,11989.0,31773,32139,12307,44514,41.0
"Mono County, California: Summary level: 050, state:06> county:051",8328,291,8619,3.4,9238,4214,2285,754.0,7634,6676,2049,62260,37.7
"San Benito County, California: Summary level: 050, state:06> county:069",29347,2163,31510,6.9,39419,22178,4522,5421.0,30151,30225,7529,86958,35.7
"Crawford County, Georgia: Summary level: 050, state:13> county:079",4707,438,5145,8.5,7159,5009,1587,2187.0,6484,5841,2219,46283,44.4
"Bryan County, Georgia: Summary level: 050, state:13> county:029",16208,1194,17402,6.9,26521,8743,3774,4494.0,18476,18587,3892,72624,34.6
"Butts County, Georgia: Summary level: 050, state:13> county:035",9503,480,9983,4.8,13417,8109,2340,3209.0,12846,11244,3707,43471,38.6
"Camden County, Georgia: Summary level: 050, state:13> county:039",21519,1616,23135,7.0,32662,16292,5997,6351.0,27495,25736,6762,56951,32.8
"Early County, Georgia: Summary level: 050, state:13> county:099",3703,357,4060,8.8,4514,4896,1710,1596.0,4793,5519,1957,30640,39.9
"Coffee County, Georgia: Summary level: 050, state:13> county:069",16896,696,17592,4.0,20575,15585,7370,7784.0,22155,20866,5873,40859,36.3
"Coweta County, Georgia: Summary level: 050, state:13> county:077",70819,3021,73840,4.1,106357,37485,13860,15732.0,69744,73516,19347,75913,39.0
"Gilmer County, Georgia: Summary level: 050, state:13> county:123",13076,577,13653,4.2,16020,13035,6020,6272.0,15178,15236,7335,52625,47.2
"Walton County, Georgia: Summary level: 050, state:13> county:297",41903,2263,44166,5.1,61841,28286,10620,11512.0,44379,47063,13860,61599,38.7
"Wilkes County, Georgia: Summary level: 050, state:13> county:317",4092,128,4220,3.0,5404,4257,1433,1618.0,4771,5073,2250,37838,45.1
"Dodge County, Georgia: Summary level: 050, state:13> county:091",7878,472,8350,5.7,12020,7655,1988,3814.0,10958,9871,3642,39302,41.8
"Gordon County, Georgia: Summary level: 050, state:13> county:129",26262,904,27166,3.3,33798,19697,8694,9729.0,28313,28889,8247,45865,38.4
"Cherokee County, Georgia: Summary level: 050, state:13> county:057",127265,4846,132111,3.7,189155,55539,26494,24862.0,121808,125707,33259,82740,38.7
"Fayette County, Georgia: Summary level: 050, state:13> county:113",53105,2147,55252,3.9,91064,29695,8060,11575.0,54446,57857,19884,90145,43.4
"Lee County, Georgia: Summary level: 050, state:13> county:177",13314,954,14268,6.7,20829,8177,2858,3292.0,14736,14766,3691,69280,37.2
"Pickens County, Georgia: Summary level: 050, state:13> county:227",14170,730,14900,4.9,20755,12243,3303,5530.0,15557,15830,6708,67631,45.4
"Greene County, Georgia: Summary level: 050, state:13> county:133",6482,379,6861,5.5,9989,7850,2580,2442.0,8535,8814,4935,52129,50.2
"Cook County, Georgia: Summary level: 050, state:13> county:075",7128,426,7554,5.6,8804,6858,3066,3158.0,8224,8953,2729,41854,37.3
"Dawson County, Georgia: Summary level: 050, state:13> county:085",12035,497,12532,4.0,17071,8245,2948,3745.0,12224,12312,4913,66281,43.6
"Fulton County, Georgia: Summary level: 050, state:13> county:121",535127,31400,566527,5.5,742285,261818,105739,102965.0,501571,534629,118227,69673,35.5
"Hawaii County, Hawaii: Summary level: 050, state:15> county:001",88098,5782,93880,6.2,127465,92400,9796,28892.0,99002,100457,40272,62409,42.7
"Honolulu County, Hawaii: Summary level: 050, state:15> county:003",470749,19513,490262,4.0,752289,301307,31230,102265.0,496066,488755,170369,85857,37.9
"Kauai County, Hawaii: Summary level: 050, state:15> county:007",36460,1443,37903,3.8,51011,26579,3556,6899.0,35529,36240,13859,83554,42.6
"Kalawao County, Hawaii: Summary level: 050, state:15> county:005",52,0,52,0.0,51,12,0,15.0,30,36,11,69375,57.4
"Cassia County, Idaho: Summary level: 050, state:16> county:031",10141,297,10438,2.8,15192,8207,3166,3278.0,12047,11643,3260,52935,32.9
"Lincoln County, Idaho: Summary level: 050, state:16> county:063",2559,97,2656,3.7,2625,1996,1145,745.0,2805,2545,695,50053,35.1
"Valley County, Idaho: Summary level: 050, state:16> county:085",4714,82,4796,1.7,7694,4114,1213,1666.0,5411,5298,2949,64475,50.6
"Franklin County, Idaho: Summary level: 050, state:16> county:041",5915,91,6006,1.5,9753,3698,1463,2093.0,6915,6549,1859,57215,32.8
"Nez Perce County, Idaho: Summary level: 050, state:16> county:069",19215,753,19968,3.8,28118,14045,3991,6804.0,19834,20383,7880,58107,40.8
"Kootenai County, Idaho: Summary level: 050, state:16> county:055",73191,3148,76339,4.1,110402,54100,15152,21273.0,77730,79592,29082,57242,40.2
"Minidoka County, Idaho: Summary level: 050, state:16> county:067",9547,364,9911,3.7,12379,7449,3767,2991.0,10345,10360,3275,53370,35.2
"Twin Falls County, Idaho: Summary level: 050, state:16> county:083",40237,1370,41607,3.3,57547,27148,10098,11501.0,41795,43074,12788,52919,34.7
"Blaine County, Idaho: Summary level: 050, state:16> county:013",12325,254,12579,2.0,13980,6833,2870,2254.0,11521,10852,3977,56694,43.2
"Boise County, Idaho: Summary level: 050, state:16> county:015",2947,167,3114,5.4,5416,2833,833,1017.0,3779,3599,1835,59646,54.0
"Butte County, Idaho: Summary level: 050, state:16> county:023",951,48,999,4.8,1445,967,393,397.0,1359,1222,536,42132,45.2
"Gooding County, Idaho: Summary level: 050, state:16> county:047",6984,399,7383,5.4,8657,5721,2422,1951.0,7773,7375,2528,47204,38.7
"Ada County, Idaho: Summary level: 050, state:16> county:001",229029,9248,238277,3.9,350179,115143,37134,46071.0,228886,227963,63734,66293,37.0
"Bear Lake County, Idaho: Summary level: 050, state:16> county:007",2585,80,2665,3.0,4584,1969,341,847.0,2958,3042,1235,54167,39.6
"Bingham County, Idaho: Summary level: 050, state:16> county:011",19732,997,20729,4.8,30894,15583,4801,7216.0,22914,22925,6295,55472,33.6
"Camas County, Idaho: Summary level: 050, state:16> county:025",493,12,505,2.4,624,407,127,117.0,497,551,197,39688,44.5
"Clearwater County, Idaho: Summary level: 050, state:16> county:035",2842,210,3052,6.9,5088,3480,906,1645.0,4831,3842,2313,43915,50.4
"Jefferson County, Idaho: Summary level: 050, state:16> county:051",12917,608,13525,4.5,20898,7933,2545,2928.0,14526,14008,3127,63048,31.5
"Lane County, Oregon: Summary level: 050, state:41> county:039",173561,12856,186417,6.9,238871,161565,26090,62926.0,183845,189495,70183,52426,39.4
"Surry County, Virginia: Summary level: 050, state:51> county:181",3151,191,3342,5.7,4336,2489,771,1026.0,3154,3369,1413,57962,49.8
"Clarke County, Virginia: Summary level: 050, state:51> county:043",7193,332,7525,4.4,10917,3478,1805,1503.0,7321,7102,2990,80026,47.0
"Mecklenburg County, Virginia: Summary level: 050, state:51> county:117",12145,491,12636,3.9,18486,13719,3032,6195.0,14889,15839,7722,43207,48.4
"Augusta County, Virginia: Summary level: 050, state:51> county:015",35140,1277,36417,3.5,53336,24364,5567,9670.0,38267,36812,15368,62711,45.1
"Goochland County, Virginia: Summary level: 050, state:51> county:075",11064,408,11472,3.6,18224,6111,1063,2664.0,11347,11518,4942,93994,48.3
"Madison County, Virginia: Summary level: 050, state:51> county:113",6204,332,6536,5.1,9239,4259,1358,1708.0,6403,6767,2849,57895,45.6
"Roanoke County, Virginia: Summary level: 050, state:51> county:161",45744,1508,47252,3.2,74361,27620,4963,10117.0,45121,48702,19843,68948,43.8
"Brunswick County, Virginia: Summary level: 050, state:51> county:025",6025,638,6663,9.6,8619,6944,1141,2787.0,8843,7677,3452,44434,43.3
"Northampton County, Virginia: Summary level: 050, state:51> county:131",4891,204,5095,4.0,7239,5429,1266,1811.0,5718,6167,3093,47227,49.0
"Rockbridge County, Virginia: Summary level: 050, state:51> county:163",9926,511,10437,4.9,15483,9138,1870,3119.0,11227,11343,5754,54600,49.0
"Norton city, Virginia: Summary level: 050, state:51> county:720",1607,191,1798,10.6,2170,1900,431,830.0,1852,2118,651,29000,37.5
"Colonial Heights city, Virginia: Summary level: 050, state:51> county:570",7768,685,8453,8.1,12749,6801,1289,2736.0,8060,9368,3550,54550,40.6
"Bland County, Virginia: Summary level: 050, state:51> county:021",2305,131,2436,5.4,3690,2174,411,1003.0,3564,2824,1438,48531,46.4
"Botetourt County, Virginia: Summary level: 050, state:51> county:023",16083,527,16610,3.2,26513,10555,1357,4438.0,16365,16978,7302,71110,47.2
"Bristol city, Virginia: Summary level: 050, state:51> county:520",6966,449,7415,6.1,9447,8077,1714,3821.0,7961,8951,3456,37500,42.2
"Williamsburg city, Virginia: Summary level: 050, state:51> county:830",6394,393,6787,5.8,12411,3551,870,1602.0,6929,7998,2342,57463,24.9
