,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Humboldt County, Nevada: Summary level: 050, state:32> county:013",8491,301,8792,3.4,11928,4319,2011,2010.0,8680,8148,2259,67756,36.0
"White Pine County, Nevada: Summary level: 050, state:32> county:033",3633,127,3760,3.4,5458,3088,632,1284.0,5688,3991,1600,60827,39.8
"Elko County, Nevada: Summary level: 050, state:32> county:007",26168,1284,27452,4.7,39536,11361,5202,5540.0,27216,25081,5743,81232,34.1
"Nye County, Nevada: Summary level: 050, state:32> county:023",14619,1532,16151,9.5,23376,24379,4311,10252.0,22543,21837,13173,47300,53.1
"Storey County, Nevada: Summary level: 050, state:32> county:029",1638,50,1688,3.0,2385,1944,400,776.0,2108,1880,1142,66292,50.9
"Clark County, Nevada: Summary level: 050, state:32> county:003",1031774,70691,1102465,6.4,1385970,726475,253474,260038.0,1089228,1092776,315486,59340,37.3
"Lyon County, Nevada: Summary level: 050, state:32> county:019",22593,1794,24387,7.4,34124,23729,4402,9397.0,27450,26930,11372,56875,43.7
"Cheshire County, New Hampshire: Summary level: 050, state:33> county:005",39891,1395,41286,3.4,55904,25743,4717,10631.0,37138,38904,14719,64751,43.1
"Grafton County, New Hampshire: Summary level: 050, state:33> county:009",46609,1400,48009,2.9,63668,31673,6278,12729.0,44210,45567,17964,63389,43.2
"Rockingham County, New Hampshire: Summary level: 050, state:33> county:015",175088,5839,180927,3.2,253024,80664,13472,33091.0,151844,154515,52770,93756,44.5
"Sullivan County, New Hampshire: Summary level: 050, state:33> county:019",20839,633,21472,2.9,28939,16909,2976,5789.0,21432,21672,8948,61312,46.3
"Hillsborough County, New Hampshire: Summary level: 050, state:33> county:011",227110,9564,236674,4.0,314256,118070,25235,48133.0,205394,207641,62902,81460,40.7
"Coos County, New Hampshire: Summary level: 050, state:33> county:007",14358,832,15190,5.5,17897,14669,2145,6172.0,16723,15018,7320,47117,48.2
"Carroll County, New Hampshire: Summary level: 050, state:33> county:003",24125,758,24883,3.0,31952,21176,4297,7444.0,23882,24256,12981,63153,52.3
"Mercer County, New Jersey: Summary level: 050, state:34> county:021",180235,11753,191988,6.1,265211,112003,27925,35775.0,179846,188076,54941,81057,38.8
"Cumberland County, New Jersey: Summary level: 050, state:34> county:011",61596,4880,66476,7.3,83164,62734,13132,20032.0,77686,74220,22676,54149,37.6
"Somerset County, New Jersey: Summary level: 050, state:34> county:035",173721,8395,182116,4.6,272399,71615,17206,25164.0,161195,168643,50390,113611,41.7
"Ocean County, New Jersey: Summary level: 050, state:34> county:029",260353,14045,274398,5.1,416621,247667,33285,76729.0,287757,308658,133880,70909,42.7
"Atlantic County, New Jersey: Summary level: 050, state:34> county:001",127399,11721,139120,8.4,174209,102529,21407,36053.0,128791,137314,46657,62110,41.7
"Middlesex County, New Jersey: Summary level: 050, state:34> county:023",406921,22127,429048,5.2,627535,217041,55882,76273.0,407170,418750,121213,89533,38.6
"Salem County, New Jersey: Summary level: 050, state:34> county:033",29326,1878,31204,6.0,44264,23689,3284,9091.0,30823,32167,11537,66842,42.1
"Cape May County, New Jersey: Summary level: 050, state:34> county:009",41841,3050,44891,6.8,66587,37460,5476,12950.0,45495,47591,24059,67074,49.6
"Camden County, New Jersey: Summary level: 050, state:34> county:007",249732,17739,267471,6.6,349227,181461,32802,67802.0,244647,262091,77791,70451,38.8
"Union County, New Jersey: Summary level: 050, state:34> county:039",281698,17091,298789,5.7,369392,167879,62222,50001.0,270127,283906,78625,80198,38.7
"Hudson County, New Jersey: Summary level: 050, state:34> county:017",357147,19715,376862,5.2,401907,218438,85578,60892.0,333123,336923,78647,71189,35.3
"Hunterdon County, New Jersey: Summary level: 050, state:34> county:019",66913,2647,69560,3.8,104215,30323,3158,10560.0,62104,62719,22295,115379,46.3
"Morris County, New Jersey: Summary level: 050, state:34> county:027",261352,11795,273147,4.3,412949,113171,23132,41292.0,242146,251233,82479,115527,42.8
"Hidalgo County, New Mexico: Summary level: 050, state:35> county:023",1527,125,1652,7.6,2227,2504,174,927.0,2130,2167,910,42526,43.1
"McKinley County, New Mexico: Summary level: 050, state:35> county:031",23730,3867,27597,14.0,18183,43658,14362,11783.0,34986,37452,8610,33834,32.4
"Sandoval County, New Mexico: Summary level: 050, state:35> county:043",62530,4680,67210,7.0,90433,58581,12440,19461.0,69943,72761,24400,63802,40.1
"Grant County, New Mexico: Summary level: 050, state:35> county:017",10098,776,10874,7.1,14647,16182,1005,5408.0,13652,14017,7347,37843,46.4
"Curry County, New Mexico: Summary level: 050, state:35> county:009",20253,1379,21632,6.4,25995,22137,4905,7765.0,25956,23776,6091,45092,31.5
